Make,Model,Variant,sale_quantity,sale_month,Ex_Showroom_Price,Displacement,Type,Emission_Norm,Fuel_Type,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Seating_Capacity,Airbags,Number_of_Airbags,Body_Type,Height,Length,Width,Fuel_System,Total_revenue,Price_Range
Tata,Nano Genx,Xt,9.124,9,0.292667,624.0,Manual,BS IV,Petrol,23.6,,4.0,No airbag,0,Hatchback,1652.0,3164,1750.0,Injection,2.670293708,Low Price Range
Tata,Nano Genx,Xe,10.094,3,0.236447,624.0,Manual,BS IV,Petrol,23.6,,4.0,No airbag,0,Hatchback,1652.0,3164,1750.0,Injection,2.386696018,Low Price Range
Tata,Nano Genx,Emax Xm,9.601,2,0.296661,624.0,Manual,BS IV,CNG,,36.0,4.0,No airbag,0,Hatchback,1652.0,3164,1750.0,Injection,2.848242261,Low Price Range
Tata,Nano Genx,Xta,9.716,10,0.334768,624.0,Automatic,BS IV,Petrol,21.9,,4.0,No airbag,0,Hatchback,1652.0,3164,1750.0,Injection,3.252605888,Low Price Range
Tata,Nano Genx,Xm,9.051,5,0.272223,624.0,Manual,BS IV,Petrol,23.6,,4.0,No airbag,0,Hatchback,1652.0,3164,1750.0,Injection,2.463890373,Low Price Range
Tata,Nano Genx,Xma,10.276,8,0.314815,624.0,Automatic,BS IV,Petrol,21.9,,4.0,No airbag,0,Hatchback,1652.0,3164,1750.0,Injection,3.23503894,Low Price Range
Datsun,Redi-Go,D,5.214,11,0.27965,799.0,Manual,BS IV,Petrol,25.169999999999998,,5.0,No airbag,0,Hatchback,1541.0,3429,1560.0,Injection,1.4580951,Low Price Range
Datsun,Redi-Go,T,5.936,7,0.351832,799.0,Manual,BS IV,Petrol,25.169999999999998,,5.0,No airbag,0,Hatchback,1541.0,3429,1560.0,Injection,2.088474752,Low Price Range
Datsun,Redi-Go,A,6.198,4,0.333419,799.0,Manual,BS IV,Petrol,25.169999999999998,,5.0,No airbag,0,Hatchback,1541.0,3429,1560.0,Injection,2.066530962,Low Price Range
Datsun,Redi-Go,S,6.731,8,0.362,799.0,Manual,BS IV,Petrol,25.169999999999998,,5.0,No airbag,0,Hatchback,1541.0,3429,1560.0,Injection,2.436622,Low Price Range
Datsun,Redi-Go,1.0 S,7.195,10,0.39,999.0,Manual,BS IV,Petrol,22.5,,5.0,No airbag,0,Hatchback,1541.0,3429,1560.0,Injection,2.80605,Low Price Range
Datsun,Redi-Go,1.0 S Amt,7.956,3,0.437065,999.0,Automatic,BS IV,Petrol,23.0,,5.0,No airbag,0,Hatchback,1541.0,3429,1560.0,Injection,3.47728914,Low Price Range
